tweet,index
"RT @Atheist_Krishna: The effect of #Demonetization !!
. https://t.co/A8of7zh2f5",1068
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",1069
"#Demonetization – How does it impact the common man? 
Read our views here - https://t.co/kFCVgGUcmd https://t.co/n5CjxRgCzr",1070
RT @chichupedathaa: Your sister and her husband when ur father gives u all his assets..#demonetization https://t.co/QOqiWG4hKy,1071
"RT @ModiBharosa: Huge support for PM @narendramodi ’s #demonetization Move Across the Nation 
80-86% people back demonetization: C-voter su…",1072
RT @coomarashish: Watching @yrdeshmukh sir in a debate with @manakgupta on News24 on #Demonetization..<ed><U+00A0><U+00BD><ed><U+00B1><U+008C>,1073
RT @Dipankar_cpiml: The Modi app on #DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards…,1074
"The effect of #Demonetization !!
. https://t.co/A8of7zh2f5",1075
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",1076
"I think the real beneficiary of #Demonetization in India is #PayTM, it solved the problem of sellers and buyers. many ppl near me use @Paytm",1077
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",1078
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,1079
RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,1080
"Reddy’s lavish wedding earns him IT notice, now Congress leader hosts similar wedding https://t.co/zYmrlzOFxM… https://t.co/6f3Tw0RiLF",1081
@ajaymaken @DelhiPCC sorry bro but we support #demonetization,1082
"RT @JaiPoswal1995: 92% people support @narendramodi's #Demonetization on #Modi App &amp; insist decision should not be back 
https://t.co/2lelg…",1083
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",1084
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",1085
"There is pain. There is suffering - Inflicted by #demonetization.
Time to show gratitude, empathy; not to be dismissive. 
I salute public.",1086
"RT @vimuktaatma: Think, slaves...think. #Demonetization https://t.co/CNw0HrUH1p",1087
RT @Dipankar_cpiml: The Modi app on #DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards…,1088
"RT @renu_18: Bad thing is
The position of Worthless Unpaid Hubbies surviving on wife's money remains same aftr #demonetization &amp; r free to…",1089
Atlast!!! What I was waiting for. Rats r out when confronted truth that Co-op banks not exempted. @PMOIndia… https://t.co/sYRJtPIv5P,1090
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,1091
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",1092
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",1093
RT @satishacharya: Reddy Wedding! @mail_today cartoon #demonetization #ReddyWedding https://t.co/u7gLNrq31F,1094
RT @Dipankar_cpiml: The Modi app on #DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards…,1095
All crooks protesting #Demonetization #BlackMoney https://t.co/lppXdKMni9,1096
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,1097
"RT @thebetterindia: Tackling #Demonetization: 9 New Steps to Help Citizens Fight the Cash Crunch
https://t.co/ExvHcctRGp https://t.co/73EtE…",1098
"RT @vimuktaatma: Think, slaves...think. #Demonetization https://t.co/CNw0HrUH1p",1099
"What I want to see is investigative journalism, governance of money trail after 50 day #DeMonetization is over &amp; where #India failed as well",1100
"""America has the #technology to go cashless, but nobody trusts it enough..."" #demonetization… https://t.co/u6YFqLMC50",1101
OPPOSITE PARTY JITNE TAKAT #demonetization ko rok ne me lag rhi he itni takat help me kar dte to use achha hota.,1102
RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,1103
"So what's the problem if offline cash is getting online, it is now traceable &amp; taxable and this is all about… https://t.co/2ulsEBX2Lj",1104
RT @Dipankar_cpiml: The Modi app on #DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards…,1105
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",1106
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",1107
RT @MohanRamadurai: They are all protesting against #Demonetization But how many of them have been so vocal about Corruption? Deliberately…,1108
RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,1109
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",1110
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",1111
"Think, slaves...think. #Demonetization https://t.co/CNw0HrUH1p",1112
RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,1113
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",1114
"RT @MaayaaSarabhai: It's KARMA
 #BlackMoney #demonetization #EkSacchaKadam #NoRollBackOfDeMonetization https://t.co/SVZf84bLkh",1115
RT @iarunmani: Left is going to file a petition in SC against govts decision on #demonetization . My que is why the hell don't you debate i…,1116
"When life gives 500 or 1000 reasons to struggle, show the world that you have  2000 reasons to SMILE !!! #demonetization",1117
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",1118
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",1119
RT @aartic02: But Modi &amp; Chamchas told Terrorism wiped off after #Demonetization https://t.co/X2ME55oPks,1120
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,1121
RT @anilkohli54: Absolutely hilarious corrupt protesting in the name of poor against. #Demonetization,1122
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",1123
"RT @Joydeep_911: Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas…",1124
"RT @harshkkapoor: #DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmoney
@na…",1125
RT @MohanRamadurai: They are all protesting against #Demonetization But how many of them have been so vocal about Corruption? Deliberately…,1126
"#DeMonetization survey results after 24 hours
5Lacs opinions
Amazing response&amp; Commitment in fight against Blackmon… https://t.co/aEI4oU9HM6",1127
RT @saxenask352: 95% sacrificing to cleanse 5%. Benefits of #Demonetization should reach the common man in same ratio,1128
"Who put ""demon"" in #Demonetization",1129
"RT @CREDAINational: Dear @PMOIndia, CREDAI supports your #Demonetization drive, &amp; we are geared up for a smoother transition towards a tran…",1130
"RT @Dhakad_VSL: Thanks for support..
 #YouthWithBJP
#<U+0938><U+093E><U+0930><U+0947>_<U+091A><U+094B><U+0930>_<U+092E><U+091A><U+093E><U+092F><U+0947>_<U+0936><U+094B><U+0930>
#demonetization https://t.co/qEksSRg4dZ",1131
RT @rachitmathur5: @ArvindKejriwal deserves a tight slap on his face  #demonetization #BlackMoney #KejriPappuDidiTypes #<U+0938><U+093E><U+0930><U+0947>_<U+091A><U+094B><U+0930>_<U+092E><U+091A><U+093E><U+092F><U+0947>_<U+0936><U+094B><U+0930>…,1132
That why @MamataOfficial is leading agitation against #demonetization. @sardanarohit @msisodia @_YogendraYadav… https://t.co/tI02CAWnlC,1133
RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,1134
#Survey gives overwhelming support to #demonetization. One question should hv been added that whom did you vote in the 2014 #Loksabha el.,1135
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,1136
#Demonetization :The villagers apparently are caught in intriguing wrath from both the Army and militants https://t.co/61abf0kAuY,1137
"RT @ShefVaidya: #DeMonetization is certainly hurting Lord @ArvindKejriwal, Behen Bagwati, @OfficeOfRG and @MamtaOfficiaI a LOT! https://t.c…",1138
"RT @AnchliaAnil: 2day #namovolunteers had meeting with @malviyamit over #demonetization, decided 2 expose opposition by
#<U+0938><U+093E><U+0930><U+0947>_<U+091A><U+094B><U+0930>_<U+092E><U+091A><U+093E><U+092F><U+0947>_<U+0936><U+094B><U+0930>…",1139
RT @DikshitSmita: The only credible death #demonetization has caused seems to be of @ArvindKejriwal's political career :D https://t.co/CwgM…,1140
"RT @SharmaKhemchand: 2day #namovolunteers had meeting with @malviyamit ji over #demonetization, decided 2 expose opposition by
#<U+0938><U+093E><U+0930><U+0947>_<U+091A><U+094B><U+0930>_<U+092E>…",1141
"Incase you were wondering, this is what went isnide Vijay Shekhar Sharma's Paytm a day after #demonetization... https://t.co/83hUyE0UVa",1142
RT @ShefVaidya: A whopping 80% of people surveyed say the inconvenience caused by #DeMonetization is worth the effort as per a... https://t…,1143
RT @amishra77: Fate of #demonetization debate in Rajya Sabha is the most stark proof of the opposition's propaganda against govt's move hav…,1144
"RT @myvotetoday: So #CJIThakur says there will be riots due to #DeMonetization Qs
.
No #SpicesNSecrets 
.
No riots due to citizens #Waiting…",1145
@ShashiTharoor effect of #DeMonetization...liberal educated mask slowly peeling off...too big a shock...starts showing his sadakchap thinkng,1146
"RT @AnchliaAnil: 2day #namovolunteers had meeting with @malviyamit over #demonetization, decided 2 expose opposition by
#<U+0938><U+093E><U+0930><U+0947>_<U+091A><U+094B><U+0930>_<U+092E><U+091A><U+093E><U+092F><U+0947>_<U+0936><U+094B><U+0930>…",1147
"RT @myvotetoday: 85% support #demonetization 

Is this more likely now or if #SupremeCourt has another midnight hearing to stay
execution o…",1148
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",1149
RT @shashidigital: #Demonetization public sentiment holding up as first deadline nears https://t.co/lklWbQMDV4,1150
RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,1151
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,1152
"RT @myvotetoday: So #CJIThakur says there will be riots due to #DeMonetization Qs
.
No #SpicesNSecrets 
.
No riots due to citizens #Waiting…",1153
RT @raveeshbhalla: I reserve the right to seriously judge anyone who uses these stats to justify #demonetization knowing how the survey is…,1154
"RT @Joydeep_911: Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas…",1155
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",1156
RT @shaggyno1: @ArvindKejriwal go get a life! You &amp; all other black money holders are exposed by #demonetization #<U+0938><U+093E><U+0930><U+0947>_<U+091A><U+094B><U+0930>_<U+092E><U+091A><U+093E><U+092F><U+0947>_<U+0936><U+094B><U+0930> #oppos…,1157
"RT @ModiBharosa: Huge support for PM @narendramodi ’s #demonetization Move Across the Nation 
80-86% people back demonetization: C-voter su…",1158
"""Issey kehte hai jale pe namak chidakna"" 
@PMOIndia busy thanking frm 3 days but not bothered 
 @OfficeOfRG… https://t.co/sPRzqAjVQs",1159
"RT @ModiBharosa: Huge support for PM @narendramodi ’s #demonetization Move Across the Nation 
80-86% people back demonetization: C-voter su…",1160
RT @arifkhan7: Bangalore's @tinucherian visits 23 ATMs to see if media is lying about the note ban? #demonetization https://t.co/0Gmlpksrpx,1161
"The most difficult condition to deal with is #medical emergency with no #cash, card or #insurance. Get… https://t.co/rwxEW6Bc1q",1162
"RT @vaishaliishere: Stopping supply of condoms will stop prostitution. 
#DeMonetization logic",1163
"RT @myvotetoday: Well said<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>at #IEC2016 on how #WeThePeople accepted #demonetization PEACEFULLY @arunjaitley @anandmahindra 
Did U watc…",1164
"RT @ModiBharosa: Huge support for PM @narendramodi ’s #demonetization Move Across the Nation 
80-86% people back demonetization: C-voter su…",1165
RT @Dipankar_cpiml: The Modi app on #DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards…,1166
"RT @sukanyaiyer2: #DeMonetization PMModi had exposed TMC &amp; it's Chief Mamta Di with reg corruption in WB, that Bengal Didn't change but Mam…",1167
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,1168
"RT @sandipsabharwal: Most people are with you @narendramodi on #Demonetization
Pl run a poll on where citizens face most harassment in the…",1169
"RT @ModiBharosa: Huge support for PM @narendramodi ’s #demonetization Move Across the Nation 
80-86% people back demonetization: C-voter su…",1170
"RT @ModiBharosa: Huge support for PM @narendramodi ’s #demonetization Move Across the Nation 
80-86% people back demonetization: C-voter su…",1171
"RT @tjain2016: @narendramodi <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> I'm with you, 
#Demonetization was a good decision against Corruption, but why it was not planned and execut…",1172
#Demonetization may lead to home loan rates falling below 7% within the next six months to a year. Read more… https://t.co/W8XAWMyiT6,1173
Bandh politics started! not sure how the Bandh will help the people who are (supposedly) facing issues due to #demonetization !!,1174
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,1175
RT @raveeshbhalla: I reserve the right to seriously judge anyone who uses these stats to justify #demonetization knowing how the survey is…,1176
RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,1177
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",1178
"RT @saaxenanurag: 700 Crores rupees of cash found in 3 medical colleges. Clearing the massive rot in medical admissions.

#Demonetization",1179
RT @SethShruti: Will #demonetization nab the perpetrators of #BlackMoney?,1180
"Poore din family wale job, ghar bache bhul bank aur post office k chakkar lagao
 raat ATM wah #demonetization… https://t.co/7Uy1VpOaOC",1181
#Boycott_Bharat_Bandh i request @narendramodi to address nation to boycott strike called by the oppositions on #Demonetization,1182
".@narendramodi Indeed, sir!

ICYMI, replugging my review here.
#demonetisation 
#demonetization

https://t.co/HEPp7B3FiW",1183
The Modi app on #DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hardship of the people.,1184
RT @IndiaFirst_2019: Have You Shared Your Views on #Demonetization to #PMModi Take Part in Survey on #NMApp  &amp; Be A Part of Nation Building…,1185
RT @IndiaFirst_2019: Have You Shared Your Views on #Demonetization to #PMModi Take Part in Survey on #NMApp  &amp; Be A Part of Nation Building…,1186
Separatists;Naxalites;Tertorists; Mafias;Black Money hoarders;ISI Agents&amp; DALAL politicians r only opposing… https://t.co/swLJs067PX,1187
"RT @IndiaToday: Since #demonetization drive began, donations to temples across the nation have increased. #cashchaos 
https://t.co/4tL99llq…",1188
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,1189
RT @Rupalijee: Over 90% of respondents feel govt's move to tackle #black money is above four-star rating. #demonetization #survey via TOI @…,1190
"RT @MSA_IND: #Startups owned #demonetization but could we see a #FinTech fall?
https://t.co/V3HB1vEbOa
Sign up for #ThinkNext2016
https://t…",1191
"I'm not particularly against #demonetization, but those survey results the Prime Minister shared are such b.s! Heights of fudging polls! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",1192
"""Jan Dhan"" #Gujarat #Congress announces series of #agitation programme against #demonetization @navgujaratsamay",1193
RT @pratap_bose: This is the most beautiful post I have seen in these last few turbulent days <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> @devduttmyth #demonetization #CorruptionCle…,1194
"5L till now. 4.65L from India . 90%+ Gives <ed><U+00A0><U+00BD><ed><U+00B1><U+008D> To #Demonetization
Huge sample size. https://t.co/G3ioQTYPCi",1195
"From a customer care point of view, the railway housekeeping &amp; sanitation feedback form is far superior than the Modi app on #DeMonetization",1196
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,1197
RT @indianyogi: @narendramodi we elected u 4 taking bold decisions in national interest. Bigger cry against #demonetization means bigger lo…,1198
RT @raveeshbhalla: I reserve the right to seriously judge anyone who uses these stats to justify #demonetization knowing how the survey is…,1199
RT @raveeshbhalla: I reserve the right to seriously judge anyone who uses these stats to justify #demonetization knowing how the survey is…,1200
"What is the impact of #Demonetization on various sectors like Real Estate, Consumption, Banks.
Read our views here… https://t.co/Wkw2n74Xzg",1201
"RT @TheOfficialSBI: As of today, 33000 thousand ATMs are functioning. - SBI Chairman, Smt. Arundhati Bhattacharya. #Demonetization",1202
RT @raveeshbhalla: I reserve the right to seriously judge anyone who uses these stats to justify #demonetization knowing how the survey is…,1203
RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,1204
RT @raveeshbhalla: I reserve the right to seriously judge anyone who uses these stats to justify #demonetization knowing how the survey is…,1205
I reserve the right to seriously judge anyone who uses these stats to justify #demonetization knowing how the surve… https://t.co/qtEzMNcXoA,1206
RT @IndiaFirst_2019: Have You Shared Your Views on #Demonetization to #PMModi Take Part in Survey on #NMApp  &amp; Be A Part of Nation Building…,1207
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",1208
"RT @Meena_ETVnews: Today's #DeshKiBaat Debate Panelist on #Demonetization
Watch tonight @9:30pm 
All Etv Hindi Channels. https://t.co/umYsL…",1209
RT @Demo_Kaisi: There is pain. There is suffering - Inflicted by #demonetization. Undoubtedly. The poorest are hit hardest - The... https:/…,1210
"Today's #DeshKiBaat Debate Panelist on #Demonetization
Watch tonight @9:30pm 
All Etv Hindi Channels. https://t.co/umYsLI7Yhl",1211
RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,1212
RT @rssurjewala: Modiji's #Demonetization. Farmers in acute distress-No buyer for produce &amp; no money for Rabi sowing.Anyone listening? http…,1213
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,1214
RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,1215
RT @kavita_krishnan: Sanghi DMs ban social media criticism of #demonetization. Only #NMApp with scripted answers is allowed I guess :) http…,1216
"@washingtonpost #trump shd learn from the stupid experiment of #demonetization done in India.. Tackles black  money, terror &amp; counterfeit.",1217
We promise the #MinisterMenu is worth every saved 100 rupee. Don't let the #demonetization bring you down. https://t.co/hqOUgtk68V,1218
RT @kanimozhi: Why @ArvindKejriwal &amp; @MamataOfficial trying to instigate Indians 4 a Civil war in India against #demonetization Arrest them…,1219
"RT @dna: Tweet to @dna #DNARumourBuster with any questions you may have about #demonetization and we'll give you the real news.
#KnowMore h…",1220
@NewsX @PMOIndia @BJP4India Don't portray wrong pic @JhaSanjay ji.  Pl support #demonetization. It's good for poor.The student was Vcoward,1221
RT @ModiBharosa: Putting Nation over Party Politics #nitishkumar supports PM @narendramodi on #Demonetization https://t.co/UodwXdPMmG,1222
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",1223
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,1224
Over 90% of respondents feel govt's move to tackle #black money is above four-star rating. #demonetization #survey via TOI @narendramodi,1225
@PTI_News Why oppns r running from pillar to post against #demonetization.It beyond imanization. Now NOTEBADI SE BHARATBANDI TAK.,1226
RT @kanimozhi: Thanks to #demonetization 75% reduction in crime rate in India. Black money seems to be the sole reason 4 all problems in In…,1227
"RT @hemster: Aam Aadmi supports #Demonetization 
And supports @narendramodi https://t.co/uq9gOigp3S",1228
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",1229
RT @kanimozhi: Why @ArvindKejriwal &amp; @MamataOfficial trying to instigate Indians 4 a Civil war in India against #demonetization Arrest them…,1230
RT @kanimozhi: Why @ArvindKejriwal &amp; @MamataOfficial trying to instigate Indians 4 a Civil war in India against #demonetization Arrest them…,1231
"https://t.co/w4R04t0ir3 shame on @CMofKarnataka @parameshwar
#Demonetization",1232
Live updates: Modi's App survey result shows over 93% people support #demonetization move https://t.co/Ngf6j55rqf,1233
RT @kanimozhi: Thanks to #demonetization 75% reduction in crime rate in India. Black money seems to be the sole reason 4 all problems in In…,1234
RT @ModiBharosa: Putting Nation over Party Politics #nitishkumar supports PM @narendramodi on #Demonetization https://t.co/UodwXdPMmG,1235
RT @kanimozhi: Why @ArvindKejriwal &amp; @MamataOfficial trying to instigate Indians 4 a Civil war in India against #demonetization Arrest them…,1236
"RT @SV99999: #Demonetization

9 New Steps to Help Citizens Fight the Cash Crunch 

https://t.co/HFrbK2Lim9",1237
RT @iarunmani: Left is going to file a petition in SC against govts decision on #demonetization . My que is why the hell don't you debate i…,1238
RT @kanimozhi: Thanks to #demonetization 75% reduction in crime rate in India. Black money seems to be the sole reason 4 all problems in In…,1239
RT @kanimozhi: Thanks to #demonetization 75% reduction in crime rate in India. Black money seems to be the sole reason 4 all problems in In…,1240
RT @kanimozhi: Why @ArvindKejriwal &amp; @MamataOfficial trying to instigate Indians 4 a Civil war in India against #demonetization Arrest them…,1241
"#Demonetization

9 New Steps to Help Citizens Fight the Cash Crunch 

https://t.co/HFrbK2Lim9",1242
RT @arifkhan7: Bangalore's @tinucherian visits 23 ATMs to see if media is lying about the note ban? #demonetization https://t.co/0Gmlpksrpx,1243
I'm struggling with no cash i have to pay for the hotel in cash and they don't accept dollars @narendramodi #Demonetization #india #tourist,1244
"Aam Aadmi supports #Demonetization 
And supports @narendramodi https://t.co/uq9gOigp3S",1245
RT @kanimozhi: India will get windfall profit of whooping 4 Lakh crores in 30 days due to #demonetization Why people like AK Pappu &amp; Mamata…,1246
"@quizderek  sir, u r a respectd prsn, but wid ths move against #demonetization pepl r qustning ur intntn!hope u r nt involved in sarda scam",1247
RT @kanimozhi: India will get windfall profit of whooping 4 Lakh crores in 30 days due to #demonetization Why people like AK Pappu &amp; Mamata…,1248
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",1249
RT @kanimozhi: India will get windfall profit of whooping 4 Lakh crores in 30 days due to #demonetization Why people like AK Pappu &amp; Mamata…,1250
India has spoken again..@AamAadmiParty @INCIndia @AITCofficial how many times will u learn a lesson?… https://t.co/Em9hsb4wCH,1251
Lower interest rate will ultimately lead to more buyers because of #LowerEMI. #HappyHomes #Demonetization https://t.co/A6LmfiVsXB,1252
"#DeMonetization PMModi had exposed TMC &amp; it's Chief Mamta Di with reg corruption in WB, that Bengal Didn't change b… https://t.co/BL4HCG0GVS",1253
"RT @IRS_India: So are you in support of the #demonetization or not?
Well, according to public opinion majority of the Indians sure are!
#Ma…",1254
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",1255
RT @jairajp: So this #DeMonetization has been so Tragic in Implementation that modi govt is Flouting RBI rules for Banking License and Oper…,1256
RT @karnataka_ioc: @indianoilcl giving cash through Mini ATMs to people in Hinterland. #IndiaKaDil. Helping rural people in #Demonetization…,1257
RT @iarunmani: Left is going to file a petition in SC against govts decision on #demonetization . My que is why the hell don't you debate i…,1258
RT @jairajp: One cartoon that explains everything that’s happening in #DeMonetization… Missed Target; Bad Execution; Severe Collateral Dama…,1259
"RT @bishnoikuldeep: Govt hasn't exempted essential items like food, milk, public transport but exempted petrol&amp;flights from #demonetization…",1260
"From #MannKiBaat to #JanKiBaat on #demonetization. 
#Citizens on #DEMONETIZATION #janjankibaat @narendramodi… https://t.co/5Rgxh7EAB6",1261
"RT @Joydeep_911: Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas…",1262
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",1263
RT @IndiaFactsOrg: #Demonetization: The Ultimate Weapon against Black economy https://t.co/fWvEuH2De6 via @IndiaFactsOrg,1264
RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,1265
#Demonetization @RBI  @narendramodi Bank officials can make monetization a failure. Stop the fraud and corruption going on in banks.,1266
RT @ModiBharosa: Putting Nation over Party Politics #nitishkumar supports PM @narendramodi on #Demonetization https://t.co/UodwXdPMmG,1267
RT @ModiBharosa: Putting Nation over Party Politics #nitishkumar supports PM @narendramodi on #Demonetization https://t.co/UodwXdPMmG,1268
RT @IndiaFactsOrg: #Demonetization: The Ultimate Weapon against Black economy https://t.co/fWvEuH2De6 via @IndiaFactsOrg,1269
@narendramodi @AmitShah Akali Dal is joining opposition party against #Demonetization but BJP is continuing with there coalition government.,1270
Is that why someone from there is among the most vocal opponents of #Demonetization ? <ed><U+00A0><U+00BD><ed><U+00B8><U+0089> No wonder ! https://t.co/iUlZvzbJ5s,1271
"RT @JaiPoswal1995: 92% people support @narendramodi's #Demonetization on #Modi App &amp; insist decision should not be back 
https://t.co/2lelg…",1272
"RT @Joydeep_911: Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas…",1273
RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,1274
"RT @Joydeep_911: Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas…",1275
"RT @JaiPoswal1995: 92% people support @narendramodi's #Demonetization on #Modi App &amp; insist decision should not be back 
https://t.co/2lelg…",1276
"RT @pGurus1: #Demonetization The time has come to put MUDRA into action, writes Prof. R Vaidyanathan - https://t.co/P6HkkDVa3b @upma23 @UnS…",1277
#SC issued notice on transfer and stay petitions filed by centre to transfer all matters relating to #demonetization to one court. No Stay.,1278
RT @ModiBharosa: Putting Nation over Party Politics #nitishkumar supports PM @narendramodi on #Demonetization https://t.co/UodwXdPMmG,1279
"93% support govt on #demonetization move. Parties, pls take note. Your voters support this move. At least now, conduct parliament business",1280
